"lon"	"lat"	"depth"	"mag"	"ids"
"442"	-147.641	63.4195	19.9	1.3	"ak11548394"
"443"	-155.605	19.4573	2.3	2.1	"hv60890091"
"444"	-121.008	35.6982	6.95	2.33	"nc72427721"
"445"	-116.573	33.4725	8.73	1.29	"ci37358040"
"446"	-116.995	33.8365	15.63	1.61	"ci37358032"
"447"	-151.513	63.0898	11	1	"ak11548393"
"448"	-151.321	61.788	48.6	1.6	"ak11548391"
"449"	-122.763	38.7933	2.87	0.16	"nc72427706"
"450"	-116.822	33.6012	10.76	0.36	"ci37358024"
"451"	-150.302	64.8053	14.1	0.9	"ak11548389"
"452"	-122.281	46.2662	3.46	1.59	"uw60995001"
"453"	-155.269	19.4032	1.1	1.7	"hv60888906"
"454"	-122.812	38.8203	3.38	0.67	"nc72427701"
"455"	-118.886	37.5327	4.3	0.21	"nc72427696"
"456"	-116.565	33.4667	10.56	0.46	"ci37358016"
"457"	-120.074	39.2177	8.6172	0.26	"nn00489557"
"458"	-97.8384	36.357	5	3.1	"us10001v9s"
"459"	-146.618	64.8147	12.2	1.2	"ak11548386"
"460"	-149.691	62.2694	35.7	1.4	"ak11548385"
"461"	-115.386	39.8723	0	1.8	"nn00489568"
"462"	-115.311	39.8826	0	1.76	"nn00489523"
"463"	-117.735	36.021	1	0.97	"ci37358000"
"464"	-116.57	33.4668	9.22	0.94	"ci37357984"
"465"	-116.476	33.495	2.98	0.44	"ci37357976"
"466"	-97.4204	35.933	7.26	2.6	"us10001v9d"
